nombre_metrica,definicion,formula,unidad,fuente_datos,frecuencia,valor_actual,valor_objetivo,relevancia,responsable
Tasa de Activacion a 7 Dias,Porcentaje de clientes registrados que completan el onboarding inicial en los primeros 7 dias,(Clientes que completan onboarding en 7 dias / Total clientes registrados) * 100,porcentaje,Firebase/CRM,semanal,62.1%,75%,Indicador principal de salud del cliente - alta correlacion con retencion a 90 dias,Producto
Tasa de Activacion a 30 Dias,Porcentaje de clientes registrados que completan el onboarding inicial en los primeros 30 dias,(Clientes que completan onboarding en 30 dias / Total clientes registrados) * 100,porcentaje,Firebase/CRM,semanal,71.3%,82%,Complementa el metric a 7 dias para capturar ciclos de decision mas largos,Producto
Tiempo Promedio de Activacion,Dias promedio desde el registro hasta la completitud del onboarding,(Sumatoria de dias hasta activacion / Total clientes activados),dias,Firebase/Analytics,semanal,4.2,3.0,Reduce el tiempo de valor del cliente y aumenta la probabilidad de retencion,Producto
Tasa de Confirmacion de Correo,Porcentaje de clientes registrados que confirman su correo electronico,(Clientes que confirman correo / Total clientes registrados) * 100,porcentaje,Firebase,continua,91.6%,98%,Primer paso critico del flujo de activacion - condicion necesaria,Ingenieria
Tasa de Abandono en Perfil,Porcentaje de clientes que abandonan durante la configuracion del perfil,(Clientes que abandonan en perfil / Clientes que iniciaron configuracion) * 100,porcentaje,Analytics/CRM,semanal,14.7%,8%,Indica friccion en el segundo paso del onboarding,Producto
Tasa de Abandono en Primer Elemento,Porcentaje de clientes que no crean ningun elemento en los primeros 30 dias,(Clientes sin elementos / Clientes que completaron perfil) * 100,porcentaje,Analytics,mesual,23.2%,12%,Punto de friccion principal - indica falta de valor inmediato percibido,Producto
Clientes Adquiridos,Numero de nuevos registros de clientes en el periodo,(Conteo de nuevos registros),clientes,CRM,diario,2340,2800,Volume de entrada al embudo de activacion - materia prima del proceso,Marketing
Tasa de Conversion Lead a Cliente,Porcentaje de leads cualificados que se convierten en clientes registrados,(Leads convertidos / Leads cualificados) * 100,porcentaje,CRM,mesual,67.3%,72%,Eficiencia del funnel de adquisicion pre-registro,Ventas
NPS de Activacion,Puntuacion Net Promoter Score medida solo en clientes que completaron onboarding en los ultimos 30 dias,Calculo estandar de NPS: % Promotores - % Detractores,puntos,Encuestas,mesual,42,55,Satisfaccion con el proceso de onboarding - predictor de retencion,Producto
Tasa de Retencion a 90 Dias,Porcentaje de clientes activos a 90 dias desde el registro,(Clientes activos a 90 dias / Clientes activados) * 100,porcentaje,Analytics/CRM,mesual,78.4%,85%,Objetivo final del proceso de activacion - validacion de calidad,Producto
ARPU Primer Ano,Ingreso promedio por cliente activo en los primeros 12 meses,(Ingresos totales / Clientes activos),dolares,Financial,mesual,340,380,Impacto financiero de la activacion y expansion,Finance
CAC,Costo de Adquisicion de Cliente -Todos los gastos de marketing y ventas / Numero de nuevos clientes,(Gastos marketing + Ventas) / Clientes adquiridos,dolares,Financial,mesual,127,115,Eficiencia de la inversion en adquisicion,Finance
Costo por Cliente Activado,CAC ajustado por tasa de activacion para medir eficiencia real,CAC / Tasa de activacion,dolares,Financial,mesual,204.5,170,Metrica de eficiencia final que considera la calidad de la activacion,Finance
Tasa de Activacion por Canal - Referidos,Tasa de activacion para clientes adquiridos por referencias,(Referidos activados / Total referidos) * 100,porcentaje,CRM,mesual,74.3%,80%,Benchmark para comparar otros canales,Marketing
Tasa de Activacion por Canal - Organico,Tasa de activacion para clientes adquiridos por canales organicos,(Organicos activados / Total organicos) * 100,porcentaje,CRM,mesual,63.8%,72%,Canal de mayor volumen despues de referidos,Marketing
Tasa de Activacion por Canal - Paid,Tasa de activacion para clientes adquiridos por campañas pagadas,(Paid activados / Total paid) * 100,porcentaje,CRM,mesual,54.7%,65%,Area de oportunidad para optimizacion de expectativas,Marketing
Tasa de Activacion por Tamano - Pequena,Tasa de activacion para empresas de 1-50 empleados,(Pequenas activadas / Total pequenas) * 100,porcentaje,CRM,mesual,68.4%,75%,Segmento con mejor rendimiento,Ventas
Tasa de Activacion por Tamano - Mediana,Tasa de activacion para empresas de 51-500 empleados,(Medianas activadas / Total medianas) * 100,porcentaje,CRM,mesual,59.2%,68%,Segmento con potencial de mejora,Ventas
Tasa de Activacion por Tamano - Grande,Tasa de activacion para empresas de mas de 500 empleados,(Grandes activadas / Total grandes) * 100,porcentaje,CRM,mesual,51.8%,60%,Segmento que requiere enfoque personalizado,Ventas
Tiempo de Confirmacion de Correo - Percentil 50,Mediana de horas hasta confirmacion del correo electronico,Percentil 50 del tiempo de confirmacion,horas,Firebase,continua,2.3,1.5,Indicador de friccion en el primer paso,Ingenieria
Tiempo de Confirmacion de Correo - Percentil 90,Percentil 90 de horas hasta confirmacion del correo electronico,Percentil 90 del tiempo de confirmacion,horas,Firebase,continua,18.2,6.0,Cola de la distribucion - oportunidad de remindes,Ingenieria
Tasa de Apertura de Email Onboarding,Porcentaje de emails de onboarding que son abiertos,(Emails abiertos / Emails enviados) * 100,porcentaje,SendGrid,continua,48.2%,60%,Engagement con comunicaciones de activacion,Marketing
Tasa de Clic de Email Onboarding,Porcentaje de emails de onboarding que generan al menos un clic,(Emails con clic / Emails abiertos) * 100,porcentaje,SendGrid,continua,22.7%,35%,Calidad del contenido de los emails de activacion,Marketing
